practitioner_role_id,location_id,location_reference
468c9229-7541-4b38-a266-ab0b62d529ca,1e1fef25-975d-4c49-a39e-7b7c04c24c66,Location/1e1fef25-975d-4c49-a39e-7b7c04c24c66
d0cdbe81-f668-4e2e-b4df-8c1aba36e236,67ee7459-04b0-4d8f-961e-1ca0b2d7120a,Location/67ee7459-04b0-4d8f-961e-1ca0b2d7120a
d0cdbe81-f668-4e2e-b4df-8c1aba36e236,dbbed2c4-a5f4-4b16-b065-6a2ec6a8dcf1,Location/dbbed2c4-a5f4-4b16-b065-6a2ec6a8dcf1
d0cdbe81-f668-4e2e-b4df-8c1aba36e236,e254e32f-99bd-4f31-976f-ed78878a33c1,Location/e254e32f-99bd-4f31-976f-ed78878a33c1
7b5d786b-a721-4914-95f7-4365e0546c9d,9f9ebeb8-d187-4e41-8bf2-2312bc69f7b0,Location/9f9ebeb8-d187-4e41-8bf2-2312bc69f7b0
7b5d786b-a721-4914-95f7-4365e0546c9d,7aea7124-66cd-4455-8363-1d607a453474,Location/7aea7124-66cd-4455-8363-1d607a453474
7b5d786b-a721-4914-95f7-4365e0546c9d,f07033b8-2dec-44e5-ab88-05018957cb39,Location/f07033b8-2dec-44e5-ab88-05018957cb39
8891b59e-fbe2-4ee1-afb7-bc2d24b51757,a371557d-605c-4836-9aed-87868306a558,Location/a371557d-605c-4836-9aed-87868306a558
f87d9bc3-fbed-4a4b-b0c5-d018ea5e6424,b1559f37-cec4-460e-8d57-8c6c20f026d9,Location/b1559f37-cec4-460e-8d57-8c6c20f026d9
5f88036f-6d87-4ac2-90f7-23d8adce5f6b,b011b132-b524-481f-aaf0-54576097c860,Location/b011b132-b524-481f-aaf0-54576097c860
e0397863-7832-450f-a525-c8c1fdca7988,ba2222aa-5c38-4e82-9455-d093cebba8bc,Location/ba2222aa-5c38-4e82-9455-d093cebba8bc
90e0b64a-cbc5-4b54-9631-77395c85dbcc,c83d08f5-f29c-4da4-94a8-e92b26f11b10,Location/c83d08f5-f29c-4da4-94a8-e92b26f11b10
90e0b64a-cbc5-4b54-9631-77395c85dbcc,e6c27dbe-4fba-4fb9-aa24-b61c83edf11a,Location/e6c27dbe-4fba-4fb9-aa24-b61c83edf11a
90e0b64a-cbc5-4b54-9631-77395c85dbcc,220d924f-3a13-4b2b-b675-b1d95cef6942,Location/220d924f-3a13-4b2b-b675-b1d95cef6942
059b330c-a872-40ba-a5cc-5ed5a136714d,ada7bf30-0cbd-4c18-933c-bf1ca6359c8f,Location/ada7bf30-0cbd-4c18-933c-bf1ca6359c8f
00a7f90e-80d5-4e9f-b690-8c4cd44475e3,e565063e-74b0-4ed2-98f7-17ade07af119,Location/e565063e-74b0-4ed2-98f7-17ade07af119
2c7e671a-ec53-41e9-a9ec-28100a68fa51,e798c4cf-13d9-4ab9-b803-d8dba2d099d4,Location/e798c4cf-13d9-4ab9-b803-d8dba2d099d4
e3f963dc-7d33-41c0-b891-629ef7234db9,9dfd0c29-d948-4847-b0a3-a89817977d00,Location/9dfd0c29-d948-4847-b0a3-a89817977d00
31743a97-ee1b-4752-8b37-f5114b90d28e,229d15f1-6e9b-47e2-b57b-ee35aad60b77,Location/229d15f1-6e9b-47e2-b57b-ee35aad60b77
31743a97-ee1b-4752-8b37-f5114b90d28e,e3480a92-3c1a-451c-946f-c337eb7920ed,Location/e3480a92-3c1a-451c-946f-c337eb7920ed
477283cf-17a0-415e-a591-95a831227566,9781a424-5f1d-4871-97bc-57961f90d75d,Location/9781a424-5f1d-4871-97bc-57961f90d75d
